Fiscal Year,Service,Department,Program,Fund,Fund Type,Expense Type,Description,Approved Amount
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Labor,"35,788.07"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Labor,"62,347.99"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Labor,385
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Labor,"468,885.49"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Labor,"90,804.29"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Labor,"1,231.36"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Non-Labor,"4,233"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Non-Labor,"-23,363"
2023,Administration,Civil Service Commissions,Civil Service Commissions,00100 - General Fund,General Fund,Expenditures,Non-Labor,100
2023,Administration,Department of Finance and Administrative Services,City Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,"110,000"
2023,Administration,Department of Finance and Administrative Services,City Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,"250,000"
2023,Administration,Department of Finance and Administrative Services,Contracting Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Department of Finance and Administrative Services,Divisional Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,326.56
2023,Administration,Department of Finance and Administrative Services,Divisional Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"6,019.73"
2023,Administration,Department of Finance and Administrative Services,Divisional Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,847.49
2023,Administration,Department of Finance and Administrative Services,Divisional Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"8,257.2"
2023,Administration,Department of Finance and Administrative Services,Divisional Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,107.13
2023,Administration,Department of Finance and Administrative Services,Divisional Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"133,214.93"
2023,Administration,Department of Finance and Administrative Services,Divisional Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"19,185.97"
2023,Administration,Department of Finance and Administrative Services,Divisional Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"-61,613.6"
2023,Administration,Department of Finance and Administrative Services,Indigent Defense Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,"12,506,689"
2023,Administration,Department of Finance and Administrative Services,Indigent Defense Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,"99,785"
2023,Administration,Department of Finance and Administrative Services,Indirect Cost Recovery Offset,00100 - General Fund,General Fund,Expenditures,Labor,"2,513,592.48"
2023,Administration,Department of Finance and Administrative Services,Jail Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,"21,439,147"
2023,Administration,Department of Finance and Administrative Services,Office of Constituent Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,"9,600"
2023,Administration,Department of Finance and Administrative Services,Office of Constituent Services,00100 - General Fund,General Fund,Expenditures,Labor,"10,538.72"
2023,Administration,Department of Finance and Administrative Services,Office of Constituent Services,00100 - General Fund,General Fund,Expenditures,Labor,"41,560"
2023,Administration,Department of Finance and Administrative Services,Office of Constituent Services,00100 - General Fund,General Fund,Expenditures,Labor,174
2023,Administration,Department of Finance and Administrative Services,Office of Constituent Services,00100 - General Fund,General Fund,Expenditures,Labor,"134,927"
2023,Administration,Department of Finance and Administrative Services,Office of Constituent Services,00100 - General Fund,General Fund,Expenditures,Labor,"22,397.88"
2023,Administration,Department of Finance and Administrative Services,Office of Constituent Services,00100 - General Fund,General Fund,Expenditures,Labor,234.32
2023,Administration,Department of Finance and Administrative Services,Purchasing Services,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Department of Finance and Administrative Services,RCCP - ICMS System Work,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,RCCP - ICMS System Work,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,RCCP - ICMS System Work,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,RCCP - ICMS System Work,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,RCCP - ICMS System Work,00100 - General Fund,General Fund,Expenditures,Labor,"3,696.88"
2023,Administration,Department of Finance and Administrative Services,RCCP - ICMS System Work,00100 - General Fund,General Fund,Expenditures,Labor,24.01
2023,Administration,Department of Finance and Administrative Services,RCCP - ICMS System Work,00100 - General Fund,General Fund,Expenditures,Labor,"47,776.18"
2023,Administration,Department of Finance and Administrative Services,RCCP - ICMS System Work,00100 - General Fund,General Fund,Expenditures,Labor,"7,502.23"
2023,Administration,Department of Finance and Administrative Services,RCCP - ICMS System Work,00100 - General Fund,General Fund,Expenditures,Labor,"-3,614.54"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Non-Labor,"626,190.82"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Non-Labor,157.1
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,058,142.74"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Non-Labor,"889,655"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,"271,694.63"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,"2,554.71"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,"64,118.69"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,"3,514,656.73"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,"551,406.19"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Non-Labor,"6,944"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,"-265,744.35"
2023,Administration,Department of Finance and Administrative Services,Reg Compl & Consumr Protection,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"2,893.28"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"18,261.3"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"6,143.12"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,507.96
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,965.9
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,655,790.14"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"945,024.06"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,"254,698.26"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,"3,057.46"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,"3,300,800.27"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,"517,969.87"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Non-Labor,"3,000"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,"-248,421.87"
2023,Administration,Department of Finance and Administrative Services,Revenue Administration,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Non-Labor,"17,908.12"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Non-Labor,0.01
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Non-Labor,"420,745.33"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Non-Labor,"295,397.54"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,"258,025.58"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,"6,784.5"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,"51,276.67"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,"3,633,803.56"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,"523,700.61"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,"17,829.37"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Non-Labor,"6,733.81"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Non-Labor,"42,600"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,"-243,188.01"
2023,Administration,Department of Finance and Administrative Services,Seattle Animal Shelter,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Non-Labor,"90,561.05"
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Non-Labor,"40,219.07"
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Non-Labor,"124,042.41"
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Non-Labor,"4,999.8"
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Labor,"57,909.7"
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Labor,"134,382.72"
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Labor,495
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Labor,"752,305.72"
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Labor,"71,429.67"
2023,Administration,Ethics and Elections Commission,Ethics and Elections,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Finance General,Appropriation to Special Funds,00100 - General Fund,General Fund,Expenditures,Non-Labor,"9,107,850.13"
2023,Administration,Finance General,Appropriation to Special Funds,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Finance General,Appropriation to Special Funds,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,007,619.07"
2023,Administration,Finance General,Appropriation to Special Funds,00100 - General Fund,General Fund,Expenditures,Non-Labor,"3,946,879.4"
2023,Administration,Finance General,Appropriation to Special Funds,00100 - General Fund,General Fund,Expenditures,Non-Labor,"93,439,011"
2023,Administration,Finance General,Appropriation to Special Funds,00100 - General Fund,General Fund,Expenditures,Non-Labor,"14,799,407"
2023,Administration,Finance General,Appropriation to Special Funds,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Finance General,Appropriation to Special Funds,00100 - General Fund,General Fund,Expenditures,Labor,"31,620,102.65"
2023,Administration,Finance General,General Purpose,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Finance General,General Purpose,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Finance General,General Purpose,00100 - General Fund,General Fund,Expenditures,Non-Labor,"28,178,925.71"
2023,Administration,Finance General,General Purpose,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,007,000"
2023,Administration,Finance General,General Purpose,00100 - General Fund,General Fund,Expenditures,Labor,"3,056,867"
2023,Administration,Finance General,General Purpose,00100 - General Fund,General Fund,Expenditures,Non-Labor,"13,800,000"
2023,Administration,Finance General,General Purpose,00100 - General Fund,General Fund,Expenditures,Labor,0
2023,Administration,Legislative Department,Central Staff,00100 - General Fund,General Fund,Expenditures,Non-Labor,"11,123"
2023,Administration,Legislative Department,Central Staff,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Legislative Department,Central Staff,00100 - General Fund,General Fund,Expenditures,Labor,"192,807.68"
2023,Administration,Legislative Department,Central Staff,00100 - General Fund,General Fund,Expenditures,Labor,"375,151.54"
2023,Administration,Legislative Department,Central Staff,00100 - General Fund,General Fund,Expenditures,Labor,"2,529"
2023,Administration,Legislative Department,Central Staff,00100 - General Fund,General Fund,Expenditures,Labor,"2,898,230.08"
2023,Administration,Legislative Department,Central Staff,00100 - General Fund,General Fund,Expenditures,Labor,"407,376.44"
2023,Administration,Legislative Department,Central Staff,00100 - General Fund,General Fund,Expenditures,Labor,"28,824.64"
2023,Administration,Legislative Department,Central Staff,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Legislative Department,City Clerk,00100 - General Fund,General Fund,Expenditures,Non-Labor,"42,838"
2023,Administration,Legislative Department,City Clerk,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Legislative Department,City Clerk,00100 - General Fund,General Fund,Expenditures,Labor,"206,379.28"
2023,Administration,Legislative Department,City Clerk,00100 - General Fund,General Fund,Expenditures,Labor,"552,854.1"
2023,Administration,Legislative Department,City Clerk,00100 - General Fund,General Fund,Expenditures,Labor,"3,105"
2023,Administration,Legislative Department,City Clerk,00100 - General Fund,General Fund,Expenditures,Labor,162.24
2023,Administration,Legislative Department,City Clerk,00100 - General Fund,General Fund,Expenditures,Labor,"2,803,764.71"
2023,Administration,Legislative Department,City Clerk,00100 - General Fund,General Fund,Expenditures,Labor,"381,451.12"
2023,Administration,Legislative Department,City Clerk,00100 - General Fund,General Fund,Expenditures,Labor,"5,436.08"
2023,Administration,Legislative Department,City Clerk,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Legislative Department,City Council,00100 - General Fund,General Fund,Expenditures,Non-Labor,"77,361"
2023,Administration,Legislative Department,City Council,00100 - General Fund,General Fund,Expenditures,Non-Labor,"196,145"
2023,Administration,Legislative Department,City Council,00100 - General Fund,General Fund,Expenditures,Labor,"372,982.32"
2023,Administration,Legislative Department,City Council,00100 - General Fund,General Fund,Expenditures,Labor,"888,516.05"
2023,Administration,Legislative Department,City Council,00100 - General Fund,General Fund,Expenditures,Labor,"5,207"
2023,Administration,Legislative Department,City Council,00100 - General Fund,General Fund,Expenditures,Labor,"5,442,127.2"
2023,Administration,Legislative Department,City Council,00100 - General Fund,General Fund,Expenditures,Labor,"733,604.6"
2023,Administration,Legislative Department,City Council,00100 - General Fund,General Fund,Expenditures,Labor,"82,888"
2023,Administration,Legislative Department,City Council,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Legislative Department,City Council,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Legislative Department,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Legislative Department,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,875,139.2"
2023,Administration,Legislative Department,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,717.65"
2023,Administration,Legislative Department,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"119,709.01"
2023,Administration,Legislative Department,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"1,172,864.73"
2023,Administration,Legislative Department,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"38,130.57"
2023,Administration,Legislative Department,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"65,473"
2023,Administration,Legislative Department,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,825
2023,Administration,Legislative Department,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"22,744.42"
2023,Administration,Legislative Department,Citywide Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,322
2023,Administration,Legislative Department,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"505,536.76"
2023,Administration,Legislative Department,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,"5,735"
2023,Administration,Legislative Department,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"69,352.4"
2023,Administration,Legislative Department,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"157,958.31"
2023,Administration,Legislative Department,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"1,110"
2023,Administration,Legislative Department,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,-35.36
2023,Administration,Legislative Department,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"918,780.72"
2023,Administration,Legislative Department,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"142,503.73"
2023,Administration,Legislative Department,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Labor,"8,531.12"
2023,Administration,Legislative Department,Departmental Indirect Costs,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Office of Economic and Revenue Forecasts,Economic and Revenue Forecasts,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Office of Economic and Revenue Forecasts,Economic and Revenue Forecasts,00100 - General Fund,General Fund,Expenditures,Non-Labor,"46,101.84"
2023,Administration,Office of Economic and Revenue Forecasts,Economic and Revenue Forecasts,00100 - General Fund,General Fund,Expenditures,Non-Labor,934.84
2023,Administration,Office of Economic and Revenue Forecasts,Economic and Revenue Forecasts,00100 - General Fund,General Fund,Expenditures,Non-Labor,"28,000"
2023,Administration,Office of Economic and Revenue Forecasts,Economic and Revenue Forecasts,00100 - General Fund,General Fund,Expenditures,Labor,"35,318.05"
2023,Administration,Office of Economic and Revenue Forecasts,Economic and Revenue Forecasts,00100 - General Fund,General Fund,Expenditures,Labor,"62,340"
2023,Administration,Office of Economic and Revenue Forecasts,Economic and Revenue Forecasts,00100 - General Fund,General Fund,Expenditures,Labor,"453,094.21"
2023,Administration,Office of Economic and Revenue Forecasts,Economic and Revenue Forecasts,00100 - General Fund,General Fund,Expenditures,Labor,"71,679.56"
2023,Administration,Office of Economic and Revenue Forecasts,Economic and Revenue Forecasts,00100 - General Fund,General Fund,Expenditures,Non-Labor,"5,000"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Non-Labor,"215,089.83"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Non-Labor,0
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Non-Labor,"61,161.16"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Non-Labor,"74,425.6"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Non-Labor,"3,090.2"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Non-Labor,"431,016.2"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Non-Labor,"306,316.04"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Labor,"102,409.81"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Labor,"167,676"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Labor,573.26
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Labor,"1,344,711.68"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Labor,"274,374.45"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Non-Labor,"14,933.68"
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Labor,-0.14
2023,Administration,Office of Intergovernmental Relations,Office of Intergovernmental Relations,00100 - General Fund,General Fund,Expenditures,Non-Labor,"110,000"
